"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Todo Task API","1","0","Create task","0"
"0","","0","Todo Task API","1","0","Create task: validation","0"
"0","","0","MoroSystems website responsive design","5","0","Kariera page responsive design","0"
"0","","5","MoroSystems visual regression","0","0","Kariera page visual regression","0"
"0","","0","Todo Task API","1","0","Incomplete task","0"
"0","","0","MoroSystems website responsive design","5","0","Homepage responsive design","0"
"0","","0","Todo Task API","1","0","Delete task","0"
"0","","1","MoroSystems website","1","0","Filter kariera positions by city","0"
"0","","5","MoroSystems visual regression","0","0","Homepage visual regression","0"
"0","","0","Todo Task API","1","0","Complete task","0"
"0","","0","Todo Task API","1","0","Get completed tasks","0"
"0","","0","Todo Task API","1","0","Get tasks","0"
"0","","0","Todo Task API","1","0","Delete task: validation","0"
"0","","0","Todo Task API","1","0","Update task","0"
